id1	query1	id2	query2	Score
506202	Для лицензируемых видов деятельности численность может быть ниже требуемой по закону, если сотрудников призвали по мобилизации. Дополнительно сообщать в контролирующие органы не требуется. Лицензию не приостановят, и организации не грозят штрафы за работу без лицензий, если найти новых квалифицированных работников в установленный срок. В зависимости от вида деятельности такой срок составляет от трех до шести месяцев.	512830	Для лицензируемых видов деятельности численность может быть ниже требуемой по закону, если сотрудников призвали по мобилизации. Дополнительно сообщать в контролирующие органы не требуется. Лицензию не приостановят, и организации не грозят штрафы за работу без лицензий, если найти новых квалифицированных работников в установленный срок. В зависимости от вида деятельности такой срок составляет от трех до шести месяцев.	1.0000005960464478
19200	Рентабельность обыкновенного акционерного капитала (Return On Common Equity, ROCE) отражает доходность, которую получают держатели обыкновенных акций. Чтобы посчитать ROCE, скорректируйте чистую прибыль за отчетный период на дивиденды по привилегированным акциям, а затем разделите на среднюю величину уставного капитала, см. формулу. Скачайте пример расчета ROCE	19219	Рентабельность обыкновенного акционерного капитала (Return On Common Equity, ROCE) отражает доходность, которую получают держатели обыкновенных акций. Чтобы посчитать ROCE, скорректируйте чистую прибыль за отчетный период на дивиденды по привилегированным акциям, а затем разделите на среднюю величину уставного капитала, см. формулу. Скачайте пример расчета ROCE	1.0000004768371582
498224	Если организация выбрала учет основных средств или отдельных групп по переоцененной стоимости, то надо регулярно проводить переоценку. Делать это надо таким образом, чтобы стоимость была равна или не отличалась существенно от справедливой стоимости объектов. Справедливая стоимость определяется по правилам МСФО (IFRS) 13 «Оценка справедливой стоимости» (п. 15 ФСБУ 6/2020).	405844	Если организация выбрала учет основных средств или отдельных групп по переоцененной стоимости, то надо регулярно проводить переоценку. Делать это надо таким образом, чтобы стоимость была равна или не отличалась существенно от справедливой стоимости объектов. Справедливая стоимость определяется по правилам МСФО (IFRS) 13 «Оценка справедливой стоимости» (п. 15 ФСБУ 6/2020).	1.0000003576278687
6918	 Lorem ipsum dolor sit amet, consectetur adipiscing elit, sed do eiusmod tempor incididunt ut labore et dolore magna aliqua. Ut enim ad minim veniam, quis nostrud exercitation ullamco laboris nisi ut aliquip ex ea commodo consequat.	7297	Lorem ipsum dolor sit amet, consectetur adipiscing elit, sed do eiusmod tempor incididunt ut labore et dolore magna aliqua. Ut enim ad minim veniam, quis nostrud exercitation ullamco laboris nisi ut aliquip ex ea commodo consequat.	1.0000003576278687
488253	Чтобы задать письменный вопрос в Экспертную поддержку, откройте окно «Онлайн-помощник» в нижнем правом углу сайта и перейдите на вкладку «Письменно».	488255	Чтобы задать письменный вопрос в Экспертную поддержку, откройте окно «Онлайн-помощник» в нижнем правом углу сайта и перейдите на вкладку «Письменно».	1.0000003576278687
521077	Размер минимальной зарплаты включает доплаты, надбавки, премии и другие выплаты, кроме выплат по статьям 147, 151–154 ТК.	521082	Размер минимальной зарплаты включает доплаты, надбавки, премии и другие выплаты, кроме выплат по статьям 147, 151–154 ТК.	1.0000003576278687
398226	В общем случае при заключении трудового договора сотруднику можно установить испытательный срок. Однако, если работника пригласили на работу в порядке перевода от другого работодателя, то работодатель не имеет права в трудовом договоре устанавливать условие об испытании (ст. 70 ТК).	398227	В общем случае при заключении трудового договора сотруднику можно установить испытательный срок. Однако, если работника пригласили на работу в порядке перевода от другого работодателя, то работодатель не имеет права в трудовом договоре устанавливать условие об испытании (ст. 70 ТК).	1.000000238418579
506198	За период мобилизации ИП не уплачивает страховые взносы на собственное пенсионное и медицинское страхование на основании пункта 7 статьи 430 НК. Период мобилизации приравнивается к периоду прохождения воинской службы. А за время, когда предпринимательская или иная профессиональная деятельность не велась, страховые взносы в фиксированном размере не уплачивают.	512826	За период мобилизации ИП не уплачивает страховые взносы на собственное пенсионное и медицинское страхование на основании пункта 7 статьи 430 НК. Период мобилизации приравнивается к периоду прохождения воинской службы. А за время, когда предпринимательская или иная профессиональная деятельность не велась, страховые взносы в фиксированном размере не уплачивают.	1.000000238418579
507380	С дивидендов и приравненных к ним доходов1 заплатите НДФЛ или налог на прибыль. Какую ставку применить, кто перечисляет налог и в какие сроки, смотрите в таблице.	419133	С дивидендов и приравненных к ним доходов1 заплатите НДФЛ или налог на прибыль. Какую ставку применить, кто перечисляет налог и в какие сроки, смотрите в таблице.	1.000000238418579
529520	Доработайте инструкцию с учетом результатов СОУТ, анализа расследований несчастных случаев и оценки профессиональных рисков и опасностей при выполнении работ. Шаблон разработан на основании требований приказа Минтруда от 29.10.2021 № 772н.	503736	Доработайте инструкцию с учетом результатов СОУТ, анализа расследований несчастных случаев и оценки профессиональных рисков и опасностей при выполнении работ. Шаблон разработан на основании требований приказа Минтруда от 29.10.2021 № 772н.	1.0000001192092896
529520	Доработайте инструкцию с учетом результатов СОУТ, анализа расследований несчастных случаев и оценки профессиональных рисков и опасностей при выполнении работ. Шаблон разработан на основании требований приказа Минтруда от 29.10.2021 № 772н.	503738	Доработайте инструкцию с учетом результатов СОУТ, анализа расследований несчастных случаев и оценки профессиональных рисков и опасностей при выполнении работ. Шаблон разработан на основании требований приказа Минтруда от 29.10.2021 № 772н.	1.0000001192092896
529520	Доработайте инструкцию с учетом результатов СОУТ, анализа расследований несчастных случаев и оценки профессиональных рисков и опасностей при выполнении работ. Шаблон разработан на основании требований приказа Минтруда от 29.10.2021 № 772н.	503740	Доработайте инструкцию с учетом результатов СОУТ, анализа расследований несчастных случаев и оценки профессиональных рисков и опасностей при выполнении работ. Шаблон разработан на основании требований приказа Минтруда от 29.10.2021 № 772н.	1.0000001192092896
529520	Доработайте инструкцию с учетом результатов СОУТ, анализа расследований несчастных случаев и оценки профессиональных рисков и опасностей при выполнении работ. Шаблон разработан на основании требований приказа Минтруда от 29.10.2021 № 772н.	506713	Доработайте инструкцию с учетом результатов СОУТ, анализа расследований несчастных случаев и оценки профессиональных рисков и опасностей при выполнении работ. Шаблон разработан на основании требований приказа Минтруда от 29.10.2021 № 772н.	1.0000001192092896
529520	Доработайте инструкцию с учетом результатов СОУТ, анализа расследований несчастных случаев и оценки профессиональных рисков и опасностей при выполнении работ. Шаблон разработан на основании требований приказа Минтруда от 29.10.2021 № 772н.	508669	Доработайте инструкцию с учетом результатов СОУТ, анализа расследований несчастных случаев и оценки профессиональных рисков и опасностей при выполнении работ. Шаблон разработан на основании требований приказа Минтруда от 29.10.2021 № 772н.	1.0000001192092896
529520	Доработайте инструкцию с учетом результатов СОУТ, анализа расследований несчастных случаев и оценки профессиональных рисков и опасностей при выполнении работ. Шаблон разработан на основании требований приказа Минтруда от 29.10.2021 № 772н.	514916	Доработайте инструкцию с учетом результатов СОУТ, анализа расследований несчастных случаев и оценки профессиональных рисков и опасностей при выполнении работ. Шаблон разработан на основании требований приказа Минтруда от 29.10.2021 № 772н.	1.0000001192092896
503736	Доработайте инструкцию с учетом результатов СОУТ, анализа расследований несчастных случаев и оценки профессиональных рисков и опасностей при выполнении работ. Шаблон разработан на основании требований приказа Минтруда от 29.10.2021 № 772н.	503738	Доработайте инструкцию с учетом результатов СОУТ, анализа расследований несчастных случаев и оценки профессиональных рисков и опасностей при выполнении работ. Шаблон разработан на основании требований приказа Минтруда от 29.10.2021 № 772н.	1.0000001192092896
503736	Доработайте инструкцию с учетом результатов СОУТ, анализа расследований несчастных случаев и оценки профессиональных рисков и опасностей при выполнении работ. Шаблон разработан на основании требований приказа Минтруда от 29.10.2021 № 772н.	503740	Доработайте инструкцию с учетом результатов СОУТ, анализа расследований несчастных случаев и оценки профессиональных рисков и опасностей при выполнении работ. Шаблон разработан на основании требований приказа Минтруда от 29.10.2021 № 772н.	1.0000001192092896
503736	Доработайте инструкцию с учетом результатов СОУТ, анализа расследований несчастных случаев и оценки профессиональных рисков и опасностей при выполнении работ. Шаблон разработан на основании требований приказа Минтруда от 29.10.2021 № 772н.	506713	Доработайте инструкцию с учетом результатов СОУТ, анализа расследований несчастных случаев и оценки профессиональных рисков и опасностей при выполнении работ. Шаблон разработан на основании требований приказа Минтруда от 29.10.2021 № 772н.	1.0000001192092896
503736	Доработайте инструкцию с учетом результатов СОУТ, анализа расследований несчастных случаев и оценки профессиональных рисков и опасностей при выполнении работ. Шаблон разработан на основании требований приказа Минтруда от 29.10.2021 № 772н.	508669	Доработайте инструкцию с учетом результатов СОУТ, анализа расследований несчастных случаев и оценки профессиональных рисков и опасностей при выполнении работ. Шаблон разработан на основании требований приказа Минтруда от 29.10.2021 № 772н.	1.0000001192092896
503736	Доработайте инструкцию с учетом результатов СОУТ, анализа расследований несчастных случаев и оценки профессиональных рисков и опасностей при выполнении работ. Шаблон разработан на основании требований приказа Минтруда от 29.10.2021 № 772н.	514916	Доработайте инструкцию с учетом результатов СОУТ, анализа расследований несчастных случаев и оценки профессиональных рисков и опасностей при выполнении работ. Шаблон разработан на основании требований приказа Минтруда от 29.10.2021 № 772н.	1.0000001192092896
503738	Доработайте инструкцию с учетом результатов СОУТ, анализа расследований несчастных случаев и оценки профессиональных рисков и опасностей при выполнении работ. Шаблон разработан на основании требований приказа Минтруда от 29.10.2021 № 772н.	503740	Доработайте инструкцию с учетом результатов СОУТ, анализа расследований несчастных случаев и оценки профессиональных рисков и опасностей при выполнении работ. Шаблон разработан на основании требований приказа Минтруда от 29.10.2021 № 772н.	1.0000001192092896
